 Category,Number, Course Code, Course Title, Course Description, Credit Hours, Department
Arts Course,722,ECON 4010,Advanced Microeconomic Theory,"An intensive study of advanced microeconomic analysis using optimization techniques involving multivariate calculus. Topics will include consumer theory, producer theory, general equilibrium, intertemporal choice, risk and insurance markets, and asymmetric information (moral hazard and adverse selection). Prerequisite: a grade of B"" or better in ECON 3010 or ECON 2461 or the former ECON 2460 or the former ECON 3700.""",3,Economics Department
Arts Course,723,ECON 4012,Topics in Advanced Microeconomic Theory,"An intensive review of selected topics in advanced microeconomic theory. Prerequisite: a grade of B"" or better in ECON 3010 or ECON 2461 or the former ECON 2460 or the former ECON 3700. The course content may vary. Students can earn multiple credits for this course only when the topic subtitle is different.""",3,Economics Department
Arts Course,724,ECON 4020,Topics in Advanced Macroeconomic Theory,"An intensive review of selected topics in advanced macroeconomic theory. The course content may vary. Students can earn multiple credits for this course only when the topic subtitle is different. Prerequisite: a grade of B"" or better in ECON 3020 or ECON 2481 or the former ECON 2480 or the former ECON 3800.""",3,Economics Department
Arts Course,725,ECON 4040,Seminar in Applied Econometrics,"An applied course with a research component that incorporates real-world data and contemporary econometric software with an emphasis on the application of econometrics to a range of microeconomic and macroeconomic problems. Topics may include: endogeneity; instrumental variables; generalized method of moments; generalized least squares; limited dependent variable models; univariate and multivariate time series models; and panel data models. Students may not hold credit for ECON 4040 and any of: ABIZ 4120 or the former ECON 4120. Prerequisite: a grade of C+"" or better in ECON 3040 or the former ECON 3180.""",3,Economics Department
Arts Course,726,ECON 4042,Topics in Econometrics,"This is a theoretical course that addresses more advanced econometric topics with the intent of preparing students for graduate-level studies in econometrics. Standard topics will be examined in more depth. Students may not hold credit for both ECON 4042 and the former ECON 4130. Prerequisite: a grade of C+"" or better in ECON 3040 or the former ECON 3180.""",3,Economics Department
Arts Course,727,ECON 4050,History of Economic Thought 1,"A seminar course on the history of economic thought up to 1870. Attention is given to the evolution and significance of major theoretical concepts and approaches, the people who developed them and the attendant social, intellectual and economic context. Students may not hold credit for both ECON 4050 and the former ECON 4410. Prerequisite: written consent of instructor.",3,Economics Department
Arts Course,728,ECON 4052,History of Economic Thought 2,"A seminar course on the history of economic thought since 1870. Attention is given to the evolution and significance of major theoretical concepts and approaches, the people who developed them, and the attendant social, intellectual and economic context. Students may not hold credit for both ECON 4052 and the former ECON 4410. Prerequisite: a grade of C"" or better in ECON 4050.""",3,Economics Department
Arts Course,729,ECON 4140,Evaluation of Economic Policy and Programs,"This is a course in applied micro-economic policy analysis using the techniques of cost-benefit analysis as its foundation. Students will learn the welfare foundations of cost-benefit analysis, techniques for decision-making under conditions of risk and uncertainty, and how these techniques may be applied to public policy. The course will include examples from all areas of public policy, including health, education, social services criminal justice, etc. Prerequisite: written consent of instructor.",3,Economics Department
Arts Course,730,ECON 4430,Theories of Economic Development,"A study of theories, problems, and policies of economic growth and development both for advanced and underdeveloped countries. Prerequisite: written consent of instructor. ECON 2020 (or the former ECON 2800) and ECON 3020 (or the former ECON 3800) are recommended but not required.",6,Economics Department
Arts Course,731,ECON 4490,Special Studies,This readings course will vary from year to year depending on the needs of students and the interests of instructors. The course content may vary. Students can earn multiple credits for this course only when the topic subtitle is different. Prerequisite: written consent of instructor.,3,Economics Department
Arts Course,732,ECON 4500,Special Studies,This readings course will vary from year to year depending on the needs of students and interests of instructors. The course content may vary. Students can earn multiple credits for this course only when the topic subtitle is different. Prerequisite: written consent of instructor.,6,Economics Department
Arts Course,733,ECON 4610,Economics and Society Field Placement Seminar,A seminar to be taken concurrently with ECON 4620 in which each student will relate theory and practice. This course is also offered as GPE 4510 and LABR 4510. Students may not hold credit for ECON 4610 and either GPE 4510 or LABR 4510. Intended for students in the Economics Single Advanced Major (Economics and Society Stream) or Honours (Economics and Society Stream). Prerequisite: written consent of the Associate Head (Economics and Society Stream). Corequisite: ECON 4620.,3,Economics Department
Arts Course,734,ECON 4620,Economics and Society Field Placement,"An educationally directed field experience in which the student will undertake specific tasks and assignments in some aspects of Community Economic Development and/or economic policy. Field placement options include community-based organizations, government departments and agencies, policy and research organizations, unions, and other employers. This course is also offered as GPE 4520 and LABR 4520. Students may not hold credit for ECON 4620 and either GPE 4520 or LABR 4520. Intended for students in the Economics Single Advanced Major (Economics and Society Stream) or Honours (Economics and Society Stream). Prerequisite: written consent of the Associate Head (Economics and Society Stream). Corequisite: ECON 4610.",6,Economics Department
Arts Course,735,ECON 4820,Workshop on Canadian Economic Policy,"In depth examination of policy issues on selected topics such as unemployment, inflation, international trade, transfer payments, health care, the environment. A major research paper will be expected of all students. Registration is restricted to students who have formally declared an Advanced Major in Economics or Honours Economics. Students may not hold credit for ECON 4820 and any of: ECON 4822 or the former ECON 4830. Prerequisite: [a grade of C"" or better in each of ECON 2040 (or the former ECON 3170) and ECON 3040 (or the former ECON 3180)] and [a grade of ""C"" or better in ECON 2010 (or ECON 2451 or the former ECON 2450 or the former ECON 2700] and [a grade of ""C"" or better in ECON 3010 (or ECON 2461 or the former ECON 2460 or the former ECON 3700)] and [a grade of ""C"" or better in ECON 2020 (or ECON 2471 or the former ECON 2470 or the former ECON 2800)] and [a grade of ""C"" or better in ECON 3020 (or ECON 2481 or the former ECON 2480 or the former ECON 3800)].""",6,Economics Department
Arts Course,736,ECON 4822,Economic Research and Communication,"This is the capstone course for students in their final year of the B.A. (Adv.) major in Economics. The aim of this course is to develop some of the research, analytical, and writing skills that will allow students to utilize knowledge and quantitative skills acquired in previous economics courses. Registration is restricted to students who have formally declared an Advanced Major in Economics or Honours Economics.Students may not hold credit for ECON 4822 and any of: ECON 4820 or the former ECON 4830. Prerequisite: [a grade of C"" or better in each of ECON 2040 (or the former ECON 3170) and ECON 3040 (or the former ECON 3180)] and [a grade of ""C"" or better in ECON 2010 (or ECON 2451 or the former ECON 2450 or the former ECON 2700)] and [a grade of ""C"" or better in ECON 3010 (or ECON 2461 or the former ECON 2460 or the former ECON 3700)] and [a grade of ""C"" or better in ECON 2020 (or ECON 2471 or the former ECON 2470 or the former ECON 2800)] and [a grade of ""C"" or better in ECON 3020 (or ECON 2481 or the former ECON 2480 or the former ECON 3800)].""",6,Economics Department
Education,737,EDUA 1534,Unallocated Credit,Campus Manitoba course.,3,Curriculum: Tchng and Learning Department
Education,738,EDUA 1560,Adult Learning and Development,"A study of the extensive knowledge of lifespan development and its importance for adult education practitioners. With a focus on development, learning and change, emphasis is placed on the importance of context and individual differences in adult learning.",3,Ed Admin
Education,739,EDUA 1570,Foundations of Adult Education,"An introduction to the field of Education from a local and global perspective. Attention will be given to historical movements in adult education, philosophical perspectives, participation and motivation, transformative perspectives on adult learning, and current and future perspectives on adult education. Not to be held with EDUA 5300.",3,Ed Admin
Education,740,EDUA 1580,Program Planning in Adult Education,"An introduction to the theory and practice of program planning in adult education. Attention is given to the context in which learning is to take place, the structuring of adult learning opportunities, and the logistics of successful programming.",3,Ed Admin
Education,741,EDUA 1590,Facilitating Adult Education,A study of theoretical and practical aspects of facilitation in adult education.,3,Ed Admin
Education,742,EDUA 1801,Psychologie de l'apprentissage et de l'enseignement 1: Théorie et pratique,"Étude des concepts théoriques reliés à la nature de l'apprentissage et du développement en milieu scolaire, ou autre, et des pratiques qui en découlent.",3,Ed Admin
Education,743,EDUA 2011,Psychologie du Développement,Étude des principes de base du développement humain et de leur importance dans l'établissement de procédés efficaces de communication en classe. Étude d'un développement normal et des problèmes communs en éducation.,3,Ed Admin
Education,744,EDUA 2031,Psychologie de l'Enfance Exceptionnelle,Initiation à l'étude des besoins des enfants nécessitant une approche spéciale qui leur permet de se développer au maximum de leur potentiel. Examen particulier du rôle de l'enseignante ou de l'enseignant en vue d'identifier et de combler ces besoins.,3,Ed Admin
Education,745,EDUA 2041,Psychologie de l'Enfant,"Étude de l'interaction entre l'enfant et son entourage. Analyse particulière de l'influence des parents, des adultes, des frères et des sœurs et de l'école sur l'évolution psychologique, affective, sociale et morale de l'enfant.",3,Ed Admin
Education,746,EDUA 2104,Sociology of Education(UCSOC2200),UCN course,3,Curriculum: Tchng and Learning Department
Education,747,EDUA 2801,Psychologie de l'apprentissage et de l'enseignement II: Éducation spéciale inclusive,"Étude des approches et des pratiques visant à répondre aux besoins diversifiés de tous les élèves, incluant les méthodes et les ressources disponibles pour inclure tous les élèves dans les classes et les écoles régulières.",3,Ed Admin
Education,748,EDUA 2901,Le rôle de l'école dans la société,"Etude du système scolaire canadien et manitobain, dans le contexte d'une société diversifiée. Ce cours vise, dans un premier temps, à faire prendre conscience des enjeux historique, philosophique, sociologique et transculturel liés à l'enseignement. Dans un deuxième temps, il amènera les étudiantes et étudiants à comprendre le role de l'enseignant et de l'enseignante au sein de l'organisation du point de vue professionnel, légal et administratif.",3,Ed Admin
Education,749,EDUA 3000,Canadian School Systems and Their Public Purposes,"The purpose of the course is to explore with teacher candidates the ways in which schooling and teachers work is shaped by, and shapes, particular administrative, social, political, economic, historical, legal, organizational, and professional contexts. May not be held with EDUA 2810.",3,Ed Admin
Education,750,EDUA 3002,Contested Spaces in Education,"An examination of educational ideas and practices that are often contested in the context of a diverse society. The course also focuses on understanding schooling through historical, philosophical, sociological, and cross-cultural perspectives. May not be held with EDUA 1810.",3,Ed Admin
Education,751,EDUA 3011,Mesure et Évaluation,"Théorie et application pratique dans la préparation, l'utilisation et l'interprétation de tests composés par les instituteurs et les institutrices; utilisation et interprétation de divers types de tests standards; techniques de statistiques connexes.",3,Ed Admin
Education,752,EDUA 3021,Principes de Programmation Scolaire,Analyse des principes fondamentaux qui gouvernent l'élaboration des programmes scolaires et étude de l'application de ces principes à certains programmes actuels.,3,Ed Admin
Education,753,EDUA 3051,Troubles Particuliers de L'Apprentissage,Initiation à l'étude de certains troubles perçus dans le développement des élèves. Étude du rôle de l'enseignante ou de l'enseignant dans le dépistage de ces troubles et application de programmes particuliers de rééducation.,3,Ed Admin
Education,754,EDUA 3061,Informatique En Éducation I,"Applications pédagogiques des ordinateurs. Exploitation des logiciels, des progiciels et des didactiques applicables à l'enseignement.",3,Ed Admin
Education,755,EDUA 3071,Développement du Langage chez le Jeune Enfant,"Étude des expériences sensorimotrices et des étapes de la communication prélinguistique et linguistique allant de l'expression vocale au développement syntaxique. Appréciation de l'importance de l'environnement linguistique et de la cognition dans le développement, l'acquisition et l'apprentissage de la langue première. Analyse particulière du développement d'une langue seconde aux niveaux préscolaire et primaire en immersion. Il est préférable mais non obligatoire de suivre le EDUA 2011 au préalable.",3,Ed Admin
Education,756,EDUA 3201,Diversité culturelle dans les écoles,"Les écoles accueillent un grand nombre d'élèves provenant de groupes sociaux marginalisés selon, entre autres, leur race, leur ethnie, leur langue maternelle, leur religion, leur orientation sexuelle ou leur statut socioéconomique. Étude de la question de la diversité culturelle, prise dans un sens large, dans le contexte de l'enseignement. Acquisition des connaissances ainsi que des attitudes et des stratégies nécessaires pour favoriser l'équité et la qualité des apprentissages des élèves, peu importe leurs antécédents, leurs particularités ou leurs circonstances.",3,Ed Admin
Education,757,EDUA 3305,Intégration et identité professionnelles,Développement de l'habileté à faire le lien entre la pratique et la théorie et à mettre en oeuvre une gestion efficace de sa pratique pédagogique. On ne peut se faire créditer EDUA 3305 et l'ancien EDUA 3303.,6,Ed Admin
Education,758,EDUA 3313,Perspectives autochtones en contexte scolaire,"Introduction aux perspectives culturelles autochtones et métisses en contexte scolaire : dimensions historique, anthropologique, éthique et pédagogique. Développement de compétences professionnelles relatives a l'enseignement dans un environnement autochtone et métis.",3,Ed Admin
Education,759,EDUA 3323,La pratique réflexive dans la formation professionnelle,Analyse d'expériences vécues lors du stage pratique menant à une prise de conscience de son propre style d'enseignement.,3,Curriculum: Tchng and Learning Department
Education,760,EDUA 3404,Indigenous Education,"A study of fundamental issues, philosophies, and models of Indigenous education. Within a multi-modal and interactive setting, cultural, spiritual, social, and political perspectives regarding Indigenous education will be critically explored. May not be held with the former EDUA 1500 or the former EDUA 3400.",3,Ed Admin
Education,761,EDUA 3420,Cross,"Theory and practical applications related to understanding the complexities of culture, race, ethnicity, social inequality in classrooms, focusing on Aboriginal groups, immigration, and the needs of students in culturally diverse classrooms. May not be held with EDUA 1540.",3,Ed Admin
Education,762,EDUA 3500,Recent Developments in Educational Administration and Foundations,"Topics will vary depending on the needs and interests of students, and will include specialized topics in educational administration and foundations.",3,Ed Admin
Education,763,EDUA 3502,Recent Developments in Educational Psychology,"Topics will vary depending on the needs and interested of teacher candidates, and will include specialized topics in educational psychology not studied in regular program courses.",3,Ed Admin
Education,764,EDUA 3506,Foundations of Moral and Religious Education,"Examination of the theory and practice of moral and religious education, including curricular and pedagogical issues in both humanistic and religious perspectives. May not be held with EDUA 1510.",3,Ed Admin
Education,765,EDUA 3508,Measurement and Evaluation,"Theory and practical applications are stressed in the preparation, use, and interpretation of various approaches to assessing student learning. May not be held with EDUA 1502.",3,Ed Admin
Education,766,EDUA 3510,Communication and Interpersonal Relationships in Education,"The purpose of this course is to help teacher candidates increase their awareness, understanding and proficiency in communication and interpersonal relationships. Emphasis in this course is on the integration of theory, research and practice in the areas of communication and interpersonal relationships in schools. May not be held with EDUA 1550.",3,Ed Admin
Education,767,EDUA 3993,Éducation française en contextes minoritaire et d'immersion,"Étude des aspects historique, démographique, culturel, linguistique, identitaire et des approches pédagogiques qui encadrent le phénomène de l'éducation française en milieu minoritaire au Manitoba (écoles d'immersion et écoles françaises).",3,Educational Admin & Fndns Department
Education,768,EDUA 4000,Inclusive Education,"An examination of concepts and issues related to meeting the diverse needs of all students, including methods and resources that respond to diversity in classrooms and schools. May not be held with EDUA 2800.",3,Ed Admin
Education,769,EDUB 1061,Langue et Littératie,Initiation au monde de la littératie : comment comprendre et se produire dans différentes situations à l'aide de stratégies propres à son style et au contexte.,3,Curriculum: Tchng and Learning Department
Education,770,EDUB 1411,L'Enseignement des Sciences de la Nature au Secondaire,"Principes généraux sous-tendant l'enseignement des sciences, le développement conceptuel, les théories d'apprentissage, la culture scientifique, le caractère de la science, les interactions entre les sciences, la technologie, la société et l'environnement. Accent mis sur les modèles pédagogiques qui tiennent compte du développement conceptuel chez les apprenants et apprenantes afin de soutenir l'enseignement de divers thèmes scientifiques. Cours obligatoire pour ceux et celles qui veulent enseigner les programmes de sciences de la nature au niveau secondaire.",3,Curriculum: Tchng and Learning Department
Education,771,EDUB 1501,Éducation au Secondaire,"Étude des prémisses qui sous-tendent les objectifs de l'éducation au secondaire, le rôle de l'enseignant ou de l'enseignante au secondaire et les programmes d'études dans les écoles.",3,Curriculum: Tchng and Learning Department
Education,772,EDUB 1600,Teaching General Music,"A study of teaching music in Early and Middle Years schools. For both classroom teachers and Music specialists, the course covers all traditional areas of music instruction as well as music's role across the curriculum.",3,Curriculum: Tchng and Learning Department
Education,773,EDUB 1610,CyberPedagogy: Technology Production in Education,"An examination of technologies in education focusing on the production, and creation of educational computer-based new media.",3,Curriculum: Tchng and Learning Department
Education,774,EDUB 1614,K,"A focused study of the philosophy, purposes and content of K-8 provincial curriculum documents; current learning theories, teaching approaches and instructional planning in both discipline-based and interdisciplinary contexts; and assessment and evaluation of student learning. Not to be held with EDUB 1840 where the course section taken was General Curriculum.""""",3,Curriculum: Tchng and Learning Department
Education,775,EDUB 2011,Stages et Séminaires II,"Poursuite plus poussée de la pratique de l'enseignement dans les écoles, soutenue par des discussions en petits groupes portant sur le matériel de simulation et sur les pratiques observées dans les écoles.",3,Curriculum: Tchng and Learning Department
Education,776,EDUB 2021,Communication,Activités dont le but est de développer l'adresse en communication sous toutes ses formes. Étude de la dynamique de dons de communication oraux et écrits qui s'appliquent plus à l'enseignant et à l'enseignante dans son interaction avec les individus et les groupes. Étude de la communication tant verbale que non verbale.,3,Curriculum: Tchng and Learning Department
Education,777,EDUB 2041,Littérature pour adolescents,"Aperçu de la littérature appropriée aux élèves de la 7e à la 12e année. Critères d'évaluation littéraire et problèmes dont l'étude sera placée dans un contexte historique, social et psychologique.",3,Curriculum: Tchng and Learning Department
Education,778,EDUB 2081,Perfectionnement de l'Expression Orale I,"Comparaison de son expression orale en français à la norme internationale (au plan de la structure de la phrase, de la phonétique et du vocabulaire). Suite à ce diagnostic, perfectionnement de la langue parlée.",3,Curriculum: Tchng and Learning Department
Education,779,EDUB 2121,Littérature Pour Enfants,"Aperçu général de la littérature enfantine créatrice disponible dans les divers moyens de communication; établissement de critères pour l'évaluation de livres et de matériaux connexes; problèmes du lecteur en difficulté et du non-lecteur. Établissement des normes en vue de porter un jugement d'appréciation sur la littérature enfantine en mettant l'accent sur l'analyse critique et l'interprétation de la littérature replacée dans son contexte historique, sociologique et psychologique.",3,Curriculum: Tchng and Learning Department
Education,780,EDUB 2160,Teaching Music in Early/Middle Years,"The specialized study and application of curriculum, instructional approaches and techniques relevant to music education at the early and middle years levels (K-8). This course is intended for music specialists (music majors/minors, or with permission or instructor). Prerequisite: EDUB 1200 and EDUB 1940 or permission of instructor.",3,Curriculum: Tchng and Learning Department
Education,781,EDUB 2171,Atelier en Art (dessin) à l'Élémentaire,Cours pratique. Étude des techniques et du matériel appropriés permettant d'acquérir des notions de l'enseignement créatif à l'élémentaire et au primaire.,3,Curriculum: Tchng and Learning Department
Education,782,EDUB 2191,Perfectionnement de l'Expression Orale II,"Comparaison de son expression orale en français à la norme internationale (au plan de la structure de la phrase, de la phonétique et du vocabulaire). Suite à ce diagnostic, perfectionnement de la langue parlée.",3,Curriculum: Tchng and Learning Department
Education,783,EDUB 2201,Enseignement de l'Anglais au Primaire d'Immersion,"Étude de la philosophie de l'apprentissage de l'anglais au primaire d'immersion, afin de pouvoir identifier les transferts et interférences dans l'apprentissage des deux lectures (anglaise et française) et de tenir compte de ceux-ci dans l'enseignement. Concomitant : EDUB 3211.",3,Curriculum: Tchng and Learning Department
Education,784,EDUB 2211,Perfectionnement du français oral et écrit,"(Laboratoire requis) Ce cours permettra aux étudiantes et aux étudiants d'améliorer leurs compétences langagières en français, tant à l'oral qu'à l'écrit, dans le but d'enseigner en français à tous les niveaux. Ce cours est accompagné de séances de travaux dirigés d'une durée d'une heure et demie par semaine. Ces séances obligatoires permettront de mettre en pratique les notions théoriques présentées dans le cadre du cours. *Ce cours de perfectionnement ne compte pas pour le baccalauréat en éducation. Les cours additionnels pour le perfectionnement linguistique sont au-delà des 60 crédits du baccalauréat en éducation.",3,Curriculum: Tchng and Learning Department
Education,785,EDUB 2341,TCH FR SR2,-,3,Curriculum: Tchng and Learning Department
Education,786,EDUB 2501,Sujets Particuliers en Éducation au Secondaire,Étude de thèmes et de questions reliés à l'enseignement au secondaire et au développement de l'identité professionnelle de l'enseignante ou de l'enseignant débutant. Coordination des activités qui varieront d'année en année avec des expériences en milieu scolaire.,3,Curriculum: Tchng and Learning Department
Education,787,EDUB 2511,L'intégration de la langue dans toutes les matières,Initiation à la langue comme outil d'enseignement et d'apprentissage et aux moyens offerts aux enseignants et aux enseignantes pour intégrer la langue dans toutes les matières et enrichir la compréhension du contenu.,3,Curriculum: Tchng and Learning Department
Education,788,EDUB 3010,Classroom Community and Early Years Literacy,This course is designed to provide an introductory study of English language and literacy in Early Years education and how it relates to development of classroom communities. May not be held with EDUB 1010.,3,Curriculum: Tchng and Learning Department
Education,789,EDUB 3011,Pratique du Microenseignement,"Étude du comportement de l'enseignante ou de l'enseignant. Utilisation de vidéos fournissant le décor pour la pratique contrôlée de quelques-uns des éléments de l'enseignement, en particulier de l'analyse et de l'application des techniques suivantes : l'exposition, l'interrogation, la discussion et la démonstration. On ne peut se faire créditer le EDUB 3011 et le EDUB 3161.",3,Curriculum: Tchng and Learning Department
Education,790,EDUB 3012,Early Years Mathematics and Quantitative Reasoning for All Learners,"This course addresses mathematical sense making, quantitative reasoning, and practical instructional approaches in the context of the Manitoba Early Years mathematics curriculum towards a developing mathematics teacher identity. May not be held with EDUB 1000 or EDUB 1050.",3,Curriculum: Tchng and Learning Department
Education,791,EDUB 3013,Microenseignement et pratiques pédagogiques,"Réflexions sur la mise en pratique d'habiletés d'enseignement par l'analyse de leçons, d'activités ou de cours.",3,Curriculum: Tchng and Learning Department
Education,792,EDUB 3014,Early Years Science and Social Studies: Pedagogy and Curriculum,"Instructional approaches to helping young children construct knowledge about the natural world and the human society they inhabit. Attention is given to planning for learning in science and in social studies represented by current research, and provincial outcomes documents. May not be held with EDUB 1040 or EDUB 1060.",3,Curriculum: Tchng and Learning Department
Education,793,EDUB 3016,Creative Collaboration in the Arts,"An exploration of art, drama, and music. An emphasis will be placed on the value of play in early childhood development, the creative process, aesthetics, constructivism and the emergent curriculum. May not be held with EDUB 1030 or EDUB 2030.",3,Curriculum: Tchng and Learning Department
Education,794,EDUB 3018,Multi,"This course examines English as an Additional Language (EAL) development related to early years education. Issues to be addressed include: trends in EAL education, orienting newcomer students and parents to the school context, EAL-inclusive lesson/ unit planning, the new EAL curriculum, cooperative learning, and other related issues.",3,Curriculum: Tchng and Learning Department
Education,795,EDUB 3021,Sujets Particuliers en Sciences Humaines,Étude de sujets choisis dans le domaine de l'enseignement des sciences humaines.,3,Curriculum: Tchng and Learning Department
Education,796,EDUB 3031,La Lecture au Secondaire,Étude des habiletés de base en lecture et des relations de celles-ci avec les divers contenus disciplinaires du niveau secondaire. Examen de divers outils susceptibles de contribuer au développement des habiletés en lecture ainsi que diverses techniques d'évaluation.,3,Curriculum: Tchng and Learning Department
Education,797,EDUB 3050,Middle Years Learners & Learning,"This course will explore the theoretical concepts of learning and development, both for Middle Years students and teachers as adult professional learners. This is a professional inquiry into practice and learning to observe students to assess their social and emotional, cognitive, and physical development, and how this information impacts learning and classroom dynamics. May not be held with EDUA 1800.",3,Curriculum: Tchng and Learning Department
Education,798,EDUB 3052,Middle Years: Teaching for Learning,This course focuses on effective teaching across curriculum areas with emphasis on classroom­ based assessment to develop a learner-responsive pedagogy. Strategies for integrating educational technologies into teaching and assessing for learning will be addressed. May not be held with EDUB 2100. Prerequisite: EDUB 3050.,3,Curriculum: Tchng and Learning Department
Education,799,EDUB 3054,Introduction to Teaching Mathematics in Middle Years 1,This course introduces Middle Years teacher candidates to pedagogically appropriate teaching in Mathematics. May not be held with EDUB 1140.,3,Curriculum: Tchng and Learning Department
Education,800,EDUB 3056,Teaching English Language Arts in Middle Years,"A study of curriculum, theories, and instructional approaches and techniques relevant to teaching English Language Arts in the Middle Years. This course will include a focus on teacher candidates' literacy practices and the processes of Middle Year students' literacy learning. May not be held with EDUB 1100.",3,Curriculum: Tchng and Learning Department
Education,801,EDUB 3058,Teaching Science in Middle Years,This course facilitates the development of teacher candidates' view of (1) themselves as educators of science and (2) science as a learning area. The course focus is on the learning and teaching practices that contribute to engagement and learning for diverse student populations in Middle Years science. May not be held with EDUB 2130.,3,Curriculum: Tchng and Learning Department
Education,802,EDUB 3060,Teaching Social Studies in Middle Years,"The course focus is on the learning and teaching practices that contribute to engagement and learning for diverse student populations in Middle Years social studies. Contemporary learning, teaching and assessment models and practices are investigated with integrated inquiry unit planning as the central activity. May not be held with EDUB 2110.",3,Curriculum: Tchng and Learning Department
Education,803,EDUB 3062,Teaching the Arts in Middle Years,"A study of current arts curricula (dance, drama, music, visual arts) and pedagogical practices. Emphasis will be placed on the critical role that the arts play in creating rich classroom learning communities, as well as the role of technology in arts teaching and learning. May not be held with EDUB 1120 or EDUB 2120.",3,Curriculum: Tchng and Learning Department
Education,804,EDUB 3064,Teaching Physical Education/Health Education in Middle Years,Engagement in physical activities in the gymnasium/ classroom that highlight teaching learning strategies in PE/HE pedagogy. A central theme in this course is the promotion and understanding of physical and health literacies in our classes. May not be held with EDUB 1130 or EDUB 2150.,3,Curriculum: Tchng and Learning Department
Education,805,EDUB 3100,Senior Years: Principles and Processes for Teaching,"A general curriculum and instruction course designed to illuminate the connections between theory and practice and offers a practical approach to planning, teaching, and learning regardless of subject area specialty. Teacher candidates will critically consider the qualities of an effective Senior Years learning environment and recognize the elements at work. May not be held with EDUB 1510.",3,Curriculum: Tchng and Learning Department
Education,806,EDUB 3101,Méthodologie de la lecture à l'élémentaire I,"Étude de l'apprentissage et de l'enseignement de la lecture à l'élémentaire dans les écoles franco-manitobaines et les écoles d'immersion. Compréhension en lecture, analyse des structures textuelles, lecture à voix haute et analyse du mot. Survol des habiletés préalables à la lecture et de quelques techniques d'évaluation de la lecture.",3,Curriculum: Tchng and Learning Department
Education,807,EDUB 3102,Senior Years: Language and Literacy Across the Curriculum,"A deeper examination of the relationship between language, literacy and learning through an interdisciplinary approach, including how to understand language and literacy as a part of multiple sociocultural practices that are interconnected within various identities and contexts. May not be held with EDUB 2510.",3,Curriculum: Tchng and Learning Department
Education,808,EDUB 3110,Senior Years Curriculum & Instruction: The Arts,"A curriculum and instruction course for the clustered subject areas of Arts: Visual Arts, Dance, Drama and Music with opportunities to examine the pedagogical possibilities of their particular art form. The course will explore foundational principles for the study of curriculum, instructional strategies, and assessment in the Arts. May not be held with EDUB 1200. Pre- or Corequisite: EDUB 3100.",3,Curriculum: Tchng and Learning Department
Education,809,EDUB 3120,Senior Years Curriculum & Instruction: Languages,"A curriculum and instruction course for the cluster subject areas for languages. This course provides an introduction to the study of curriculum, instructional strategies and assessment in teaching languages and how to make connections between research, theory, and practice in the teaching/learning of languages in the Manitoba context. May not be held with EDUB 1210, EDUB 1280, EDUB 1350. Pre- or Corequisite: EDUB 3100.",3,Curriculum: Tchng and Learning Department
Education,810,EDUB 3130,Senior Years Curriculum & Instruction: Social Sciences,"A curriculum and instruction course for the cluster of subject areas for the Social Sciences: History, Geography, Native Studies. This course provides the foundational principles for the study of curriculum, instructional strategies and assessment in the Social Sciences. May not be held with EDUB 1230. Pre- or Corequisite: EDUB 3100.",3,Curriculum: Tchng and Learning Department
Education,811,EDUB 3140,Senior Years Curriculum & Instruction: Sciences,"A curriculum and instruction course for the cluster of subject areas for the Natural Sciences includes: General Science, Biology, Chemistry, Physics, Mathematics, Human Ecology, Physical Education/Health Education, and Computer Science. This course provides teacher candidates with the foundational principles for the study of curriculum, instructional strategies and assessment in the Natural Sciences. May not be held with EDUB 1240, EDUB 1250, EDUB 1260, EDUB 1270. Pre- or Corequisite: EDUB 3100.",3,Curriculum: Tchng and Learning Department
Education,812,EDUB 3161,Stages et séminaires III,"Choix d'expérience initiale ou d'enrichissement dans un des domaines suivants : niveau scolaire primaire ou intermédiaire, situation en éducation spécialisée ou expérience dans un service communautaire relié de façon ponctuelle à l'éducation totale. Aspects théoriques et pratiques traités en ateliers d'initiation et en discussions de groupes. Une note de réussite ou d'échec sera attribuée pour ce cours. On ne peut se faire créditer le EDUB 3161 et le EDUB 3011.",3,Curriculum: Tchng and Learning Department
Education,813,EDUB 3171,Stages Et Séminaires Iii,"Cours qui fournira de multiples occasions de rédiger différents genres de textes en français. Composition, transcription et révision de textes. Familiarisation avec le processus de l'écrit qui peut être adapté et appliqué aux niveaux primaire, élémentaire et secondaire.",3,Curriculum: Tchng and Learning Department
Education,814,EDUB 3211,Enseignement du Français au Primaire d'Immersion,"Enseignement du français langue seconde au primaire. Étude des principes de la communication orale et écrite dans la salle de classe, de la nouvelle pédagogie dans l'enseignement de la lecture et de l'écrit et de l'intégration des savoirs et des matières. Concomitant : EDUB 2201.",3,Curriculum: Tchng and Learning Department
Education,815,EDUB 3251,Sujets Particuliers,Étude de sujets choisis en enseignement et apprentissage en immersion.,3,Curriculum: Tchng and Learning Department
Education,816,EDUB 3261,L'Acquisition et l'Apprentissage du Français en Contexte d'Immersion,Cours théorique. Familiarisation avec les théories explicatives de l'acquisition et l'apprentissage d'une langue seconde et les approches pédagogiques qui en découlent. On ne peut se faire créditer le EDUB 3261.,3,Curriculum: Tchng and Learning Department
